id,report_id:id,name,description,expression,sequence,style_id:id,type,accumulation_method,auto_expand_accounts,auto_expand_accounts_style_id:id
vit_mis_kpi1000,vit_profit_and_balance.vit_mis_report2,revenue,Revenue,AccountingNone,1,vit_mis_kisel.vit_style_1,num,none,FALSE,
vit_mis_kpi1001,vit_profit_and_balance.vit_mis_report2,service_participants,Service Participants,-balp[41%],2,vit_mis_kisel.vit_style_2,num,sum,TRUE,vit_mis_kisel.vit_style_3
vit_mis_kpi1002,vit_profit_and_balance.vit_mis_report2,sales_channel,Sales & Channel,-balp[42%],3,vit_mis_kisel.vit_style_2,num,sum,TRUE,vit_mis_kisel.vit_style_3
vit_mis_kpi1003,vit_profit_and_balance.vit_mis_report2,general_service,General Service,-balp[43%],4,vit_mis_kisel.vit_style_2,num,sum,TRUE,vit_mis_kisel.vit_style_3
vit_mis_kpi1004,vit_profit_and_balance.vit_mis_report2,telco_infra_structure,Telco Infra Structure,-balp[44%],5,vit_mis_kisel.vit_style_2,num,sum,TRUE,vit_mis_kisel.vit_style_3
vit_mis_kpi1005,vit_profit_and_balance.vit_mis_report2,packaging,Packaging,AccountingNone,6,vit_mis_kisel.vit_style_2,num,none,FALSE,
vit_mis_kpi1006,vit_profit_and_balance.vit_mis_report2,default,Default,AccountingNone,7,vit_mis_kisel.vit_style_2,num,none,FALSE,
vit_mis_kpi1007,vit_profit_and_balance.vit_mis_report2,total_revenue,Total Revenue,service_participants + sales_channel + general_service + telco_infra_structure + packaging + default,8,vit_mis_kisel.vit_style_5,num,none,FALSE,
vit_mis_kpi1008,vit_profit_and_balance.vit_mis_report2,cogs,COGS,AccountingNone,9,vit_mis_kisel.vit_style_1,num,none,FALSE,
vit_mis_kpi1009,vit_profit_and_balance.vit_mis_report2,cogs_service_participants,Service Participants,balp[5%],10,vit_mis_kisel.vit_style_2,num,sum,TRUE,vit_mis_kisel.vit_style_3
vit_mis_kpi1010,vit_profit_and_balance.vit_mis_report2,cogs_sales_channel,Sales & Channel,balp[5%],11,vit_mis_kisel.vit_style_2,num,sum,TRUE,vit_mis_kisel.vit_style_3
vit_mis_kpi1011,vit_profit_and_balance.vit_mis_report2,cogs_general_service,General Service,balp[5%],12,vit_mis_kisel.vit_style_2,num,sum,TRUE,vit_mis_kisel.vit_style_3
vit_mis_kpi1012,vit_profit_and_balance.vit_mis_report2,cogs_telco_infra_structure,Telco Infra Structure,balp[5%],13,vit_mis_kisel.vit_style_2,num,sum,TRUE,vit_mis_kisel.vit_style_3
vit_mis_kpi1013,vit_profit_and_balance.vit_mis_report2,cogs_packaging,Packaging,AccountingNone,14,vit_mis_kisel.vit_style_2,num,none,FALSE,
vit_mis_kpi1014,vit_profit_and_balance.vit_mis_report2,cogs_default,Default,AccountingNone,15,vit_mis_kisel.vit_style_2,num,none,FALSE,
vit_mis_kpi1015,vit_profit_and_balance.vit_mis_report2,total_cogs,Total COGS,cogs_service_participants + cogs_sales_channel + cogs_general_service + cogs_telco_infra_structure + cogs_packaging + cogs_default,16,vit_mis_kisel.vit_style_5,num,none,FALSE,
vit_mis_kpi1016,vit_profit_and_balance.vit_mis_report2,gross_profit,Gross Profit,total_revenue-total_cogs,17,vit_mis_kisel.vit_style_1,num,none,FALSE,
vit_mis_kpi1017,vit_profit_and_balance.vit_mis_report2,operating_expense,Operating Expense,AccountingNone,18,vit_mis_kisel.vit_style_1,num,none,FALSE,
vit_mis_kpi1018,vit_profit_and_balance.vit_mis_report2,personnel_expense,Personnel Expense,balp[61%],19,vit_mis_kisel.vit_style_2,num,sum,TRUE,vit_mis_kisel.vit_style_3
vit_mis_kpi1019,vit_profit_and_balance.vit_mis_report2,general_adm_expense,General & Adm Expense,balp[62%],20,vit_mis_kisel.vit_style_2,num,sum,TRUE,vit_mis_kisel.vit_style_3
vit_mis_kpi1020,vit_profit_and_balance.vit_mis_report2,marketing_expense,Marketing Expense,balp[63%],21,vit_mis_kisel.vit_style_2,num,sum,TRUE,vit_mis_kisel.vit_style_3
vit_mis_kpi1021,vit_profit_and_balance.vit_mis_report2,total_operating_expense,Total Operating Expense,operating_expense + personnel_expense + general_adm_expense + marketing_expense,22,vit_mis_kisel.vit_style_5,num,sum,,
vit_mis_kpi1022,vit_profit_and_balance.vit_mis_report2,ebitda,EBITDA,gross_profit-total_operating_expense,23,vit_mis_kisel.vit_style_1,num,none,FALSE,
vit_mis_kpi1023,vit_profit_and_balance.vit_mis_report2,depreciation_amortization,Depreciation & Amortization Expense,AccountingNone,24,vit_mis_kisel.vit_style_1,num,none,FALSE,
vit_mis_kpi1024,vit_profit_and_balance.vit_mis_report2,depreciation,Depreciation,balp[71%],25,vit_mis_kisel.vit_style_2,num,sum,TRUE,vit_mis_kisel.vit_style_3
vit_mis_kpi1025,vit_profit_and_balance.vit_mis_report2,amortization,Amortization,balp[72%],26,vit_mis_kisel.vit_style_2,num,sum,TRUE,vit_mis_kisel.vit_style_3
vit_mis_kpi1026,vit_profit_and_balance.vit_mis_report2,total_depreciation_amortization,Total Depreciation & Amortization Expense,depreciation+amortization,27,vit_mis_kisel.vit_style_5,num,sum,FALSE,
vit_mis_kpi1027,vit_profit_and_balance.vit_mis_report2,ebit,EBIT,ebitda-total_depreciation_amortization,28,vit_mis_kisel.vit_style_1,num,none,FALSE,
vit_mis_kpi1028,vit_profit_and_balance.vit_mis_report2,other_expense_income,Other Expense (Income),AccountingNone,29,vit_mis_kisel.vit_style_1,num,none,FALSE,
vit_mis_kpi1029,vit_profit_and_balance.vit_mis_report2,other_income,Other Income,balp[81%],30,vit_mis_kisel.vit_style_2,num,sum,TRUE,vit_mis_kisel.vit_style_3
vit_mis_kpi1030,vit_profit_and_balance.vit_mis_report2,other_expense,Other Expense,balp[82%],31,vit_mis_kisel.vit_style_2,num,sum,TRUE,vit_mis_kisel.vit_style_3
vit_mis_kpi1031,vit_profit_and_balance.vit_mis_report2,provision_for_income_tax_final,Provision For Income Tax (Final),balp[91%],32,vit_mis_kisel.vit_style_1,num,sum,TRUE,vit_mis_kisel.vit_style_3
vit_mis_kpi1032,vit_profit_and_balance.vit_mis_report2,ebt,EBT,ebit+other_income-other_expense-provision_for_income_tax_final,33,vit_mis_kisel.vit_style_1,num,none,FALSE,
vit_mis_kpi1033,vit_profit_and_balance.vit_mis_report2,provision_for_income_tax_non_fin,Provision For Income Tax (Non Final),AccountingNone,34,vit_mis_kisel.vit_style_1,num,none,FALSE,
vit_mis_kpi1034,vit_profit_and_balance.vit_mis_report2,provision_for_income_tax_tangguh,Provision For Income Tax (Tangguhan),balp[92%],35,vit_mis_kisel.vit_style_1,num,sum,TRUE,vit_mis_kisel.vit_style_3
vit_mis_kpi1035,vit_profit_and_balance.vit_mis_report2,other_comprehensive_income,Other comprehensive income,AccountingNone,36,vit_mis_kisel.vit_style_1,num,none,FALSE,
vit_mis_kpi1036,vit_profit_and_balance.vit_mis_report2,eat,EAT (Nett Income),ebt-provision_for_income_tax_non_fin-provision_for_income_tax_tangguh + other_comprehensive_income,37,vit_mis_kisel.vit_style_5,num,none,FALSE,
